Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2013-02-09;23:30;75;118;AVENUE DE LA PORTE DE LA;75118;;;AVENUE DE LA PORTE DE LA CHAPELLE;;Scoo50-125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.900225, 2.358635
2013-02-10;23:40;75;118;72, BOULEVARD NEY;75118;;;BOULEVARD NEY;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;48.89858, 2.355723
2012-07-21;18:45;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;;;Cond;BL;B;Cond;Indem;A;Pass;BL;A;Pass;BL;B;48.883613, 2.346929
2013-01-01;08:20;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;A;Pass;BL;A;Cond;BL;B;Cond;Indem;C;48.883613, 2.346929
2013-02-25;07:30;75;118;PORTE DE LA CHAPELLE;75118;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.900225, 2.358635
2013-02-28;13:25;75;118;PORTE DE CLIGNANCOURT;75118;;;BD PERIPHERIQUE INTERIEUR;;VU;A;VU;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.898927, 2.344087
2013-03-25;09:20;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.883613, 2.346929
2013-03-12;09:20;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;;;;;Cond;BH;A;;;;;;;;;;48.883613, 2.346929
2012-01-07;16:40;75;118;BPE CHAPELLE CLIGNANCOUR;75118;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.889276, 2.348199
2012-07-30;18:30;75;118;84, BOULEVARD NEY;75118;;;BOULEVARD NEY;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.898477, 2.35089
2012-11-09;18:00;75;118;84, BOULEVARD NEY;75118;;;BOULEVARD NEY;;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.898477, 2.35089
2012-11-18;22:00;75;118;BOULEVARD NEY;75118;;;BOULEVARD NEY;;Scoo<=50;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.898154, 2.348822
2012-03-07;16:30;75;118;BPE CHAPELLE CLIGNANCOUR;75118;;;BD PERIPHERIQUE INTERIEUR;;PLRem;A;VL;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.889276, 2.348199
2012-11-17;02:00;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;A;Cond;Indem;C;Cond;Indem;B;Pass;BL;B;48.883613, 2.346929
2013-04-30;12:25;75;118;BPI CLIGNANCOURT CHAPELL;75118;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.883613, 2.346929
2013-11-29;12:10;75;118;PORTE DE CLIGNANCOURT;75118;;;BD PERIPHERIQUE INTERIEUR;;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.898927, 2.344087
2013-02-20;10:00;75;118;PORTE DE LA CHAPELLE;75118;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.900225, 2.358635
2013-12-17;07:15;75;118;PORTE DE LA CHAPELLE;75118;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.900225, 2.358635
